City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
164,Kudahuvadhoo,MV,82.04,Clouds,2.6708,72.8944,Niyama Private Islands Maldives
167,Butaritari,KI,82.38,Clouds,3.0707,172.7902,Isles Sunset Lodge
170,Georgetown,MY,86.9,Clouds,5.4112,100.3354,Cititel Penang
175,Dakar,SN,80.73,Clouds,14.6937,-17.4441,Redface Studios Meublés
177,Hithadhoo,MV,81.52,Clouds,-0.6,73.0833,Scoop Guest House
178,Bambanglipuro,ID,80.94,Clouds,-7.95,110.2833,Puri Brata
181,Belawan,ID,86.29,Clouds,3.7755,98.6832,Lilik Hidayat Pulungan
182,Hilo,US,82.13,Clouds,19.7297,-155.09,Hilo Hawaiian Hotel
183,Atar,MR,84.36,Clouds,20.5169,-13.0499,Oumou Elghoura
185,Bathsheba,BB,81.21,Clouds,13.2167,-59.5167,Atlantis Hotel
189,Kalmunai,LK,86.56,Clouds,7.4167,81.8167,VS Villa
190,Veraval,IN,81.95,Clouds,20.9,70.3667,Lords Inn Somnath
196,Udachnyy,RU,79.92,Clear,66.4167,112.4,Severnoye Siyaniye
202,Kavieng,PG,83.35,Rain,-2.5744,150.7967,Nusa Island Retreat
205,Coahuayana,MX,78.69,Clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
211,Ascension,US,78.08,Clear,30.2169,-90.9001,Highland Inn
212,Kahului,US,83.46,Clouds,20.8947,-156.47,Maui Seaside Hotel
220,Bengkulu,ID,83.17,Clear,-3.8004,102.2655,Grage Hotel Bengkulu
221,Emerald,AU,83.34,Clear,-23.5333,148.1667,The Irish Village
231,Luocheng,CN,90.93,Clear,29.3848,104.0286,Luocheng Hotel
232,Zaranj,AF,85.96,Clear,30.9667,61.8833,غزنوی هوتل
234,Port Macquarie,AU,84.16,Clear,-31.4333,152.9167,Rydges Port Macquarie
236,New Smyrna Beach,US,85.01,Clouds,29.0258,-80.927,Hampton Inn New Smyrna Beach
238,Palu,ID,86.27,Clouds,-0.8917,119.8707,Hotel Santika Palu
253,Dong Hoi,VN,87.3,Clouds,17.4833,106.6,Nam Long Hotel
255,Urucara,BR,76.77,Clouds,-2.5364,-57.76,Pousada Maria Bonita
258,Zaysan,KZ,79.25,Clear,47.4667,84.8667,Ерлан үй
262,Road Town,VG,83.19,Clear,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
265,Sulangan,PH,84.54,Clouds,11.1373,123.7228,Maia's Beach Resort
